SampleId,age,sumCharArea,depth,Density,Mass,sed_rate,CHAR.tram,CHAR.z_scores
TRAM-3U-59-60,2361,1387594.1262,455,0.4885,1.5903,0.0173913043478261,7412.76303512545,1.69488671429067
TRAM-3U-60-61,2416,830593.4778,456,0.627636364,1.5761,0.0181818181818182,6013.81627110078,1.23129776869103
TRAM-3U-61-62,2520,33125.5892,458,0.549272727,1.5836,0.0192307692307692,220.954479488869,-0.688365480146095
TRAM-3U-62-63,2602,103057.3886,460,0.4894,1.7084,0.024390243902439,720.061646339179,-0.522969218350048
TRAM-3U-63-64,2635,114099.2517,461,0.422136364,1.5416,0.0303030303030303,946.781841136301,-0.44783771316699
TRAM-3U-64-65,2708,174216.0616,463,0.323695652,1.5086,0.0273972602739726,1024.13707798547,-0.422203404836094
TRAM-3U-65-66,2744,650243.0473,464,0.28024,1.6031,0.0277777777777778,3157.49540084406,0.284757975620539
TRAM-3U-66-67,2806,273592.8295,466,0.40575,1.6408,0.032258064516129,2182.45801752145,-0.0383540712984855
TRAM-3U-67-68,2863,277273.4503,468,0.4766,1.6525,0.0350877192982456,2805.92459936789,0.168252943870037
TRAM-3U-68-69,2890,440447.649,469,0.557727273,1.6092,0.037037037037037,5653.82536931236,1.11200244818475
TRAM-3U-69-70,2960,261324.0925,471,0.439958333,1.6657,0.0285714285714286,1972.08744687412,-0.108067568294622
TRAM-3U-70-71,2993,326348.3974,472,0.342857143,1.6745,0.0303030303030303,2024.86276600329,-0.0905786579386717
TRAM-3U-71-72,3056,350885.8709,474,0.62505,1.5752,0.0317460317460317,4420.12329209987,0.703172991720216
TRAM-3U-72-73,3124,53982.4416,476,0.7235,1.6105,0.0294117647058824,713.265819851343,-0.525221248317872
TRAM-3U-73-74,3159,826912.8569,477,0.546136364,1.6224,0.0285714285714286,7953.07095330055,1.87393625679457
TRAM-3U-74-75,3232,500564.4591,479,0.37425,1.6092,0.0273972602739726,3189.47300995602,0.295354852122376
TRAM-3U-75-76,3255,484615.1015,480,0.358565217,1.5957,0.0434782608695652,4734.6297258345,0.807395475197627
TRAM-3U-76-77,3304,143544.22,482,0.381625,1.6052,0.0408163265306122,1392.9235840025,-0.29999335948458
TRAM-3U-77-78,3346,121460.4938,484,0.41556,1.706,0.0476190476190476,1408.86849783755,-0.294709465927973
